First,Last,Action,Event ID,Event Name,Ticket Quantity,Ticket Type
Justin,Davis,Buy,11,UTEP Football 11,5,Bronze
Chelsea,Porter,Buy,69,UTEP Commencement 2,3,Bronze
Erica,Burch,Buy,61,Justin Bieber Live,5,Gold
Mark,Lamb,Buy,71,UTEP Commencement 3,2,Silver
Lindsay,Webster,Buy,55,UTEP Wind Symphony 11,4,Bronze
Lawrence,Price,Buy,12,UTEP Football 12,4,Bronze
Jasmine,Ramirez,Buy,64,Justin Timberlake Live,5,VIP
Ronald,Bond,Buy,39,UTEP Basketball 26,6,General Admission
Mariah,Black,Buy,13,UTEP Football 13,4,VIP
Jordan,Wilson,Buy,50,UTEP Wind Symphony 6,2,General Admission
Leonard,King,Buy,71,UTEP Commencement 3,4,General Admission
Todd,Brooks,Buy,61,Justin Bieber Live,4,Bronze
Matthew,Khan,Buy,16,UTEP Basketball 3,3,General Admission
Luis,Solomon,Buy,12,UTEP Football 12,6,VIP
Victoria,Ellis,Buy,19,UTEP Basketball 6,2,Gold
Justin,Davis,Buy,27,UTEP Basketball 14,5,General Admission
Carmen,Petersen,Buy,12,UTEP Football 12,3,VIP
Philip,Collins,Buy,41,UTEP Basketball 28,5,Bronze
Daniel,Foster,Buy,25,UTEP Basketball 12,5,Silver
Monica,Craig,Buy,17,UTEP Basketball 4,3,Gold
Darin,Porter,Buy,24,UTEP Basketball 11,6,VIP
Matthew,Mason,Buy,26,UTEP Basketball 13,2,General Admission
Gregory,Carr,Buy,19,UTEP Basketball 6,5,General Admission
Felicia,Carlson,Buy,40,UTEP Basketball 27,4,VIP
Simba,Disney,Buy,39,UTEP Basketball 26,6,Gold
Daniel,Olson,Buy,29,UTEP Basketball 16,3,VIP
Samuel,Harrington,Buy,20,UTEP Basketball 7,5,Gold
Sheila,Lewis,Buy,44,UTEP Basketball 31,2,Silver
Michelle,Maynard,Buy,38,UTEP Basketball 25,3,Bronze
Linda,Miller,Buy,20,UTEP Basketball 7,3,General Admission
George,Ayala,Buy,36,UTEP Basketball 23,2,Silver
Gerald,Baker,Buy,45,UTEP Wind Symphony 1,2,VIP
Cynthia,Powell,Buy,5,UTEP Football 5,4,Gold
Elizabeth,Reyes,Buy,54,UTEP Wind Symphony 10,2,General Admission
Michelle,Rivera,Buy,33,UTEP Basketball 20,3,General Admission
Emily,Chang,Buy,64,Justin Timberlake Live,6,General Admission
Amy,Morse,Buy,45,UTEP Wind Symphony 1,6,Bronze
Jessica,Smith,Buy,58,Bad Bunny Live,6,Silver
Gary,Mckenzie,Buy,7,UTEP Football 7,6,VIP
Cristian,Pedroza,Buy,30,UTEP Basketball 17,4,Gold
Sean,Roberts,Buy,26,UTEP Basketball 13,4,VIP
Theresa,Macias,Buy,35,UTEP Basketball 22,5,General Admission
Courtney,Johnson,Buy,36,UTEP Basketball 23,3,General Admission
Eric,Vazquez,Buy,30,UTEP Basketball 17,5,Silver
Julian,Gutierrez,Buy,58,Bad Bunny Live,2,Gold
Amber,Sellers,Buy,20,UTEP Basketball 7,3,Silver
Jose,Smith,Buy,39,UTEP Basketball 26,5,Bronze
Kristine,Smith,Buy,64,Justin Timberlake Live,2,VIP
John,Hill,Buy,55,UTEP Wind Symphony 11,6,VIP
Stephanie,Harris,Buy,53,UTEP Wind Symphony 9,2,Bronze
Miranda,Mason,Buy,63,Lady Gaga Live,4,General Admission
Robin,Wilson,Buy,63,Lady Gaga Live,5,VIP
Theresa,Obrien,Buy,65,Warped Tour Day 1,6,VIP
Kimberly,Garcia,Buy,4,UTEP Football 4,4,Silver
Brian,Gates,Buy,23,UTEP Basketball 10,4,General Admission
Crystal,Hudson,Buy,33,UTEP Basketball 20,5,Bronze
Rosa,Gonzalez,Buy,45,UTEP Wind Symphony 1,6,Bronze
Kenneth,Boyd,Buy,39,UTEP Basketball 26,2,General Admission
Adam,Maldonado,Buy,50,UTEP Wind Symphony 6,6,VIP
Christina,Jones,Buy,21,UTEP Basketball 8,5,General Admission
Lisa,Brown,Buy,18,UTEP Basketball 5,5,General Admission
Melissa,Evans,Buy,39,UTEP Basketball 26,4,Bronze
Victor,Ross,Buy,53,UTEP Wind Symphony 9,4,Gold
Becky,Gray,Buy,42,UTEP Basketball 29,5,Gold
Paul,Fisher,Buy,38,UTEP Basketball 25,2,General Admission
Darin,Porter,Buy,34,UTEP Basketball 21,4,Bronze
Christopher,Berry,Buy,50,UTEP Wind Symphony 6,2,General Admission
Dana,Jones,Buy,4,UTEP Football 4,4,Silver
Rita,Owens,Buy,47,UTEP Wind Symphony 3,4,Bronze
Crystal,Hudson,Buy,33,UTEP Basketball 20,6,General Admission
Todd,Brooks,Buy,48,UTEP Wind Symphony 4,6,Bronze
Thomas,Hall,Buy,8,UTEP Football 8,3,General Admission
Brett,Mathis,Buy,58,Bad Bunny Live,5,VIP
Eric,Ramos,Buy,25,UTEP Basketball 12,6,VIP
Crystal,Hudson,Buy,38,UTEP Basketball 25,4,Bronze
Jafar,Aladdin,Buy,12,UTEP Football 12,5,Silver
Thomas,Clark,Buy,25,UTEP Basketball 12,6,Gold
Brandon,Neal,Buy,23,UTEP Basketball 10,5,Bronze
Robert,Alvarez,Buy,21,UTEP Basketball 8,4,Bronze
Brendan,Phillips,Buy,36,UTEP Basketball 23,5,General Admission
Donald,Ramirez,Buy,60,Ariana Grande Live,2,Bronze
Carlos,Lynch,Buy,42,UTEP Basketball 29,6,General Admission
Lauren,Neal,Buy,63,Lady Gaga Live,2,VIP
Jennifer,Bailey,Buy,29,UTEP Basketball 16,4,Bronze
Dana,Miller,Buy,27,UTEP Basketball 14,4,Gold
Michelle,Ortiz,Buy,55,UTEP Wind Symphony 11,6,VIP
Justin,Wilson,Buy,56,UTEP Wind Symphony 12,6,Silver
Molly,Cohen,Buy,34,UTEP Basketball 21,3,VIP
Ann,Miller,Buy,23,UTEP Basketball 10,3,Gold
Mark,Richards,Buy,30,UTEP Basketball 17,3,Silver
Rodney,Mcneil,Buy,3,UTEP Football 3,4,Gold
Ryan,Bowman,Buy,23,UTEP Basketball 10,4,VIP
Chad,Green,Buy,48,UTEP Wind Symphony 4,2,VIP
Simba,Disney,Buy,2,UTEP Football 2,2,General Admission
Joanna,Trevino,Buy,67,Warped Tour Day 3,3,Silver
Amanda,Miller,Buy,31,UTEP Basketball 18,3,Bronze
Buzz,Lightyear,Buy,7,UTEP Football 7,2,Gold
Ursela,Mermaid,Buy,12,UTEP Football 12,3,Silver
Wendy,Campos,Buy,12,UTEP Football 12,6,General Admission
Juan,Brock,Buy,9,UTEP Football 9,2,Gold
Jordan,Wilson,Buy,13,UTEP Football 13,5,Silver
Monica,Davenport,Buy,20,UTEP Basketball 7,6,Gold
Anita,Stein,Buy,11,UTEP Football 11,3,General Admission
Casey,Navarro,Buy,7,UTEP Football 7,3,General Admission
Ruben,Edwards,Buy,41,UTEP Basketball 28,5,General Admission
Elizabeth,Castillo,Buy,60,Ariana Grande Live,2,General Admission
Matthew,Khan,Buy,55,UTEP Wind Symphony 11,3,Silver
Sandra,Newton,Buy,24,UTEP Basketball 11,4,General Admission
Danielle,Dorsey,Buy,19,UTEP Basketball 6,3,VIP
Brad,Patel,Buy,46,UTEP Wind Symphony 2,4,VIP
Cruella,DeVil,Buy,47,UTEP Wind Symphony 3,6,Bronze
Jesus,TorresDominguez,Buy,29,UTEP Basketball 16,6,Silver
Robin,Watson,Buy,10,UTEP Football 10,3,Bronze
Brian,Andrews,Buy,57,Taylor Swift Live,6,Gold
Tanya,Johnson,Buy,45,UTEP Wind Symphony 1,4,General Admission
Jeremy,Morris,Buy,57,Taylor Swift Live,3,Gold
Nicholas,Smith,Buy,41,UTEP Basketball 28,3,VIP
Sarah,Mosley,Buy,48,UTEP Wind Symphony 4,5,Gold
Valerie,Moore,Buy,19,UTEP Basketball 6,3,Bronze
Kirsten,Robinson,Buy,40,UTEP Basketball 27,2,Bronze
Jessica,Olsen,Buy,2,UTEP Football 2,3,General Admission
Lindsay,Webster,Buy,43,UTEP Basketball 30,4,Silver
Brett,Higgins,Buy,66,Warped Tour Day 2,3,Silver
Gregory,Maxwell,Buy,34,UTEP Basketball 21,5,Silver
Edward,Johnson,Buy,15,UTEP Basketball 2,2,General Admission
Jose,Evans,Buy,6,UTEP Football 6,4,Silver
Michael,Clarke,Buy,57,Taylor Swift Live,2,General Admission
Michelle,Ortiz,Buy,39,UTEP Basketball 26,5,Silver
Susan,Alvarez,Buy,59,Eminem Live,6,Bronze
Keith,Christensen,Buy,55,UTEP Wind Symphony 11,3,General Admission
Donna,Allen,Buy,40,UTEP Basketball 27,4,Silver
Quasimodo,Disney,Buy,12,UTEP Football 12,4,VIP
Courtney,Johnson,Buy,55,UTEP Wind Symphony 11,2,Gold
Molly,Cohen,Buy,55,UTEP Wind Symphony 11,2,Gold
Jeffrey,Sloan,Buy,52,UTEP Wind Symphony 8,2,General Admission
Alexandra,Simpson,Buy,1,UTEP Football 1,3,Bronze
Kristine,Smith,Buy,64,Justin Timberlake Live,4,VIP
Steven,Miller,Buy,28,UTEP Basketball 15,5,Gold
John,Morris,Buy,61,Justin Bieber Live,2,General Admission
Paul,Harmon,Buy,55,UTEP Wind Symphony 11,3,Bronze
Christopher,Lucero,Buy,53,UTEP Wind Symphony 9,6,Gold
Lawrence,Henry,Buy,51,UTEP Wind Symphony 7,5,Silver
Michael,Muniz,Buy,65,Warped Tour Day 1,2,Bronze
Tiffany,Jones,Buy,33,UTEP Basketball 20,5,Bronze
Sean,Roberts,Buy,25,UTEP Basketball 12,6,Gold
Melissa,Holt,Buy,11,UTEP Football 11,5,Gold
Lawrence,Price,Buy,42,UTEP Basketball 29,3,Bronze
Michele,Stevens,Buy,44,UTEP Basketball 31,6,Bronze
Arturo,Flores,Buy,9,UTEP Football 9,3,General Admission
Sandra,Newton,Buy,54,UTEP Wind Symphony 10,5,General Admission
Dennis,Smith,Buy,63,Lady Gaga Live,4,General Admission
Theresa,Hardy,Buy,5,UTEP Football 5,2,Bronze
Brayant,Lopez,Buy,3,UTEP Football 3,6,Bronze
Justin,Hawkins,Buy,43,UTEP Basketball 30,4,General Admission
Michael,Prince,Buy,47,UTEP Wind Symphony 3,3,Bronze
Jeffrey,Weiss,Buy,36,UTEP Basketball 23,6,Gold
Brian,Gates,Buy,11,UTEP Football 11,5,General Admission
Jeremy,Morris,Buy,40,UTEP Basketball 27,6,Gold
Anthony,Barber,Buy,31,UTEP Basketball 18,5,Silver
Amanda,Johnson,Buy,58,Bad Bunny Live,5,Gold
Andrew,Torres,Buy,56,UTEP Wind Symphony 12,2,General Admission
Elizabeth,Dominguez,Buy,24,UTEP Basketball 11,4,Bronze
Danielle,Chavez,Buy,17,UTEP Basketball 4,2,Bronze
Angela,Carney,Buy,27,UTEP Basketball 14,3,General Admission
Alyssa,Reese,Buy,23,UTEP Basketball 10,2,Silver
Janet,Hughes,Buy,3,UTEP Football 3,5,VIP
Ashley,Jones,Buy,58,Bad Bunny Live,5,Bronze
Corey,Wilson,Buy,14,UTEP Basketball 1,2,Gold
Deanna,Cummings,Buy,61,Justin Bieber Live,3,VIP
Chip,Disney,Buy,62,The Weeknd Live,3,Bronze
Alexandra,Robinson,Buy,15,UTEP Basketball 2,6,Bronze
Arim,MartinDelCampo,Buy,67,Warped Tour Day 3,3,VIP
Alexandra,Fox,Buy,43,UTEP Basketball 30,3,General Admission
Jasmine,Ramirez,Buy,1,UTEP Football 1,4,Gold
Sheri,Adams,Buy,62,The Weeknd Live,6,Bronze
James,Watson,Buy,36,UTEP Basketball 23,3,Bronze
Tonya,Elliott,Buy,55,UTEP Wind Symphony 11,2,Gold
Anita,Stein,Buy,38,UTEP Basketball 25,5,VIP
Barbara,Robertson,Buy,11,UTEP Football 11,2,General Admission
Allison,Chang,Buy,45,UTEP Wind Symphony 1,4,Silver
Roberto,Johnson,Buy,7,UTEP Football 7,6,Gold
Laura,Smith,Buy,35,UTEP Basketball 22,6,Silver
Jacob,Williams,Buy,48,UTEP Wind Symphony 4,4,General Admission
Jared,DeLosReyes,Buy,2,UTEP Football 2,4,Bronze
Gerald,Beltran,Buy,68,UTEP Commencement 1,6,Gold
Krista,Blake,Buy,3,UTEP Football 3,4,Bronze
Brittany,Richard,Buy,15,UTEP Basketball 2,5,General Admission
Dominique,Johnson,Buy,27,UTEP Basketball 14,4,Bronze
Joshua,Banks,Buy,25,UTEP Basketball 12,5,Bronze
Valerie,Moore,Buy,34,UTEP Basketball 21,2,VIP
Jonathan,Martinez,Buy,9,UTEP Football 9,3,Bronze
Sarah,Stanton,Buy,67,Warped Tour Day 3,2,Silver
Carrie,Bennett,Buy,41,UTEP Basketball 28,4,Silver
Andrea,Riley,Buy,15,UTEP Basketball 2,2,Gold
Andrew,Mcclure,Buy,65,Warped Tour Day 1,6,General Admission
Tonya,Elliott,Buy,50,UTEP Wind Symphony 6,6,Silver
Cynthia,Powell,Buy,15,UTEP Basketball 2,2,General Admission
Lindsay,Webster,Buy,16,UTEP Basketball 3,3,General Admission
William,Ortiz,Buy,65,Warped Tour Day 1,2,Bronze
Darin,Porter,Buy,60,Ariana Grande Live,5,Silver
Ray,Booth,Buy,61,Justin Bieber Live,2,VIP
Marissa,Oconnell,Buy,68,UTEP Commencement 1,3,General Admission
Patricia,Glenn,Buy,34,UTEP Basketball 21,5,General Admission
Corey,Wilson,Buy,9,UTEP Football 9,5,Silver
Carmen,Hays,Buy,50,UTEP Wind Symphony 6,4,General Admission
Misty,Jimenez,Buy,45,UTEP Wind Symphony 1,2,Silver
Jennifer,Hernandez,Buy,20,UTEP Basketball 7,6,General Admission
Jennifer,Guzman,Buy,63,Lady Gaga Live,6,VIP
Sean,Hernandez,Buy,52,UTEP Wind Symphony 8,5,Silver
Kelly,Bell,Buy,67,Warped Tour Day 3,6,Gold
Jason,Skinner,Buy,13,UTEP Football 13,2,VIP
Susan,Hill,Buy,6,UTEP Football 6,4,Silver
Ricardo,Rodriguez,Buy,32,UTEP Basketball 19,6,Silver
Alexander,Kelly,Buy,65,Warped Tour Day 1,3,VIP
Jamie,Hernandez,Buy,27,UTEP Basketball 14,4,Gold
Matthew,Gonzalez,Buy,42,UTEP Basketball 29,3,Gold
Jorge,Huerta,Buy,48,UTEP Wind Symphony 4,2,General Admission
Thomas,Clark,Buy,3,UTEP Football 3,4,General Admission
Donald,Haynes,Buy,27,UTEP Basketball 14,4,Silver
Ryan,Mcconnell,Buy,47,UTEP Wind Symphony 3,3,VIP
Esteban,LozanoLopez,Buy,49,UTEP Wind Symphony 5,4,Gold
Brian,Rojas,Buy,51,UTEP Wind Symphony 7,3,Bronze
Heidi,Page,Buy,48,UTEP Wind Symphony 4,3,Silver
Ethan,Smith,Buy,57,Taylor Swift Live,2,Gold
Chase,Miller,Buy,62,The Weeknd Live,6,VIP
Kimberly,Miller,Buy,21,UTEP Basketball 8,6,Bronze
Douglas,Mckay,Buy,37,UTEP Basketball 24,5,Silver
Alyssa,Reese,Buy,39,UTEP Basketball 26,6,VIP
Darlene,Russell,Buy,45,UTEP Wind Symphony 1,3,VIP
Nicole,Rowland,Buy,59,Eminem Live,5,General Admission
David,Harvey,Buy,20,UTEP Basketball 7,4,General Admission
David,Clark,Buy,7,UTEP Football 7,5,Gold
Jade,Crawford,Buy,38,UTEP Basketball 25,4,Bronze
Jennifer,Huang,Buy,8,UTEP Football 8,3,Bronze
Ruth,Ponce,Buy,28,UTEP Basketball 15,2,General Admission
Nicole,Johnson,Buy,28,UTEP Basketball 15,2,Silver
John,House,Buy,19,UTEP Basketball 6,6,General Admission
Jesse,Montgomery,Buy,23,UTEP Basketball 10,6,Bronze
Hector,Whitney,Buy,58,Bad Bunny Live,6,Bronze
Brandi,Daniel,Buy,11,UTEP Football 11,5,VIP
Casey,Navarro,Buy,11,UTEP Football 11,5,VIP
Alexis,Ford,Buy,33,UTEP Basketball 20,4,General Admission
Jasmine,Ramirez,Buy,16,UTEP Basketball 3,2,VIP
Gary,Park,Buy,63,Lady Gaga Live,5,Gold
Barbara,Jones,Buy,63,Lady Gaga Live,5,VIP
Jeffrey,Sloan,Buy,55,UTEP Wind Symphony 11,5,General Admission
Elizabeth,Alvarez,Buy,59,Eminem Live,3,Gold
April,Turner,Buy,5,UTEP Football 5,4,VIP
Erik,Case,Buy,4,UTEP Football 4,3,General Admission
Jeffrey,Luna,Buy,23,UTEP Basketball 10,4,Gold
Maria,Young,Buy,25,UTEP Basketball 12,2,Silver
Beth,Sharp,Buy,17,UTEP Basketball 4,2,Silver
Christine,Ellis,Buy,52,UTEP Wind Symphony 8,2,VIP
Tammy,Martinez,Buy,26,UTEP Basketball 13,6,General Admission
Keith,Ortiz,Buy,50,UTEP Wind Symphony 6,6,Silver
Christopher,Contreras,Buy,24,UTEP Basketball 11,5,Gold
Mary,Church,Buy,5,UTEP Football 5,4,VIP
Angela,Walker,Buy,10,UTEP Football 10,4,VIP
Jerry,Gamble,Buy,31,UTEP Basketball 18,4,Gold
Jennifer,Evans,Buy,46,UTEP Wind Symphony 2,3,VIP
Denise,Morales,Buy,41,UTEP Basketball 28,3,VIP
Kenneth,Smith,Buy,71,UTEP Commencement 3,5,Silver
Brandon,Miller,Buy,2,UTEP Football 2,3,VIP
Jose,Farley,Buy,67,Warped Tour Day 3,4,General Admission
Theresa,Macias,Buy,4,UTEP Football 4,3,Silver
Erin,Jones,Buy,2,UTEP Football 2,3,Gold
Sherry,Mora,Buy,24,UTEP Basketball 11,3,General Admission
Lawrence,Price,Buy,42,UTEP Basketball 29,3,Silver
Michael,Clarke,Buy,68,UTEP Commencement 1,3,VIP
Dana,Jones,Buy,62,The Weeknd Live,3,Gold
Ian,Flores,Buy,61,Justin Bieber Live,4,Gold
Jasmine,Disney,Buy,53,UTEP Wind Symphony 9,4,Bronze
Evil,Queen,Buy,40,UTEP Basketball 27,4,Silver
Michelle,Walsh,Buy,65,Warped Tour Day 1,3,Silver
Megan,Thompson,Buy,67,Warped Tour Day 3,6,Silver
Allison,Weaver,Buy,13,UTEP Football 13,6,Bronze
Christopher,Dominguez,Buy,37,UTEP Basketball 24,3,VIP
Ali,Nouri,Buy,51,UTEP Wind Symphony 7,4,Gold
Crystal,Rice,Buy,40,UTEP Basketball 27,3,Silver
Jesus,TorresDominguez,Buy,52,UTEP Wind Symphony 8,3,Bronze
Shannon,Bennett,Buy,20,UTEP Basketball 7,6,VIP
Dakota,Bender,Buy,38,UTEP Basketball 25,4,Gold
Jessica,Moore,Buy,43,UTEP Basketball 30,3,General Admission
Jeffrey,Gonzalez,Buy,16,UTEP Basketball 3,4,General Admission
Julia,Young,Buy,24,UTEP Basketball 11,6,VIP
Luis,Johnson,Buy,47,UTEP Wind Symphony 3,3,General Admission
Daniel,Marin,Buy,42,UTEP Basketball 29,5,General Admission
Aurora,Disney,Buy,57,Taylor Swift Live,3,General Admission
Patricia,Hughes,Buy,71,UTEP Commencement 3,4,VIP
James,Watson,Buy,67,Warped Tour Day 3,3,General Admission
Emily,Brady,Buy,28,UTEP Basketball 15,2,Bronze
Matthew,Porter,Buy,22,UTEP Basketball 9,4,Gold
Ann,Rogers,Buy,11,UTEP Football 11,6,VIP
Edward,Molina,Buy,13,UTEP Football 13,2,Silver
Shannon,Holden,Buy,56,UTEP Wind Symphony 12,3,Gold
Luis,Solomon,Buy,71,UTEP Commencement 3,5,Bronze
Taylor,Johnson,Buy,51,UTEP Wind Symphony 7,6,Gold
Michael,Thomas,Buy,9,UTEP Football 9,4,Bronze
Kimberly,Harris,Buy,46,UTEP Wind Symphony 2,5,Gold
Jessica,Anderson,Buy,5,UTEP Football 5,3,Bronze
Becky,Simpson,Buy,36,UTEP Basketball 23,2,Gold
Jessica,Ramirez,Buy,56,UTEP Wind Symphony 12,6,General Admission
Tracy,Fitzgerald,Buy,32,UTEP Basketball 19,3,Bronze
Miranda,Mason,Buy,24,UTEP Basketball 11,3,VIP
Thomas,Guinto,Buy,64,Justin Timberlake Live,2,Gold
Sharon,Miller,Buy,23,UTEP Basketball 10,4,General Admission
Hannah,Arias,Buy,37,UTEP Basketball 24,2,General Admission
Christopher,Norris,Buy,42,UTEP Basketball 29,2,General Admission
Christopher,Dominguez,Buy,43,UTEP Basketball 30,3,VIP
Jasmine,Ramirez,Buy,22,UTEP Basketball 9,5,General Admission
John,White,Buy,11,UTEP Football 11,4,General Admission
David,Clark,Buy,40,UTEP Basketball 27,3,General Admission
Logan,Palmer,Buy,18,UTEP Basketball 5,4,Bronze
Michael,Smith,Buy,53,UTEP Wind Symphony 9,3,Silver
Teresa,Taylor,Buy,47,UTEP Wind Symphony 3,3,VIP
Steven,Miller,Buy,20,UTEP Basketball 7,4,Bronze
Christopher,Davis,Buy,23,UTEP Basketball 10,3,General Admission
Alyssa,Smith,Buy,20,UTEP Basketball 7,3,Silver
Amber,Sellers,Buy,20,UTEP Basketball 7,5,VIP
Victor,Harris,Buy,42,UTEP Basketball 29,5,Silver
Michael,Sanchez,Buy,32,UTEP Basketball 19,5,Gold
Rebecca,Fisher,Buy,49,UTEP Wind Symphony 5,2,General Admission
Krystal,Thompson,Buy,6,UTEP Football 6,2,Bronze
Ursela,Mermaid,Buy,7,UTEP Football 7,2,Silver
Stacy,Maldonado,Buy,16,UTEP Basketball 3,6,VIP
Simba,King,Buy,18,UTEP Basketball 5,6,Bronze
Darrell,Jones,Buy,4,UTEP Football 4,6,General Admission
Ashley,Frye,Buy,44,UTEP Basketball 31,6,VIP
Kevin,Harrison,Buy,51,UTEP Wind Symphony 7,2,VIP
Raymond,Woodward,Buy,66,Warped Tour Day 2,4,Bronze
James,Pittman,Buy,65,Warped Tour Day 1,2,Bronze
Cruella,DeVil,Buy,57,Taylor Swift Live,3,Silver
Tanya,Johnson,Buy,1,UTEP Football 1,3,Bronze
James,Morgan,Buy,36,UTEP Basketball 23,2,Silver
Edward,Molina,Buy,38,UTEP Basketball 25,3,Gold
Phillip,Richardson,Buy,55,UTEP Wind Symphony 11,3,VIP
Carlos,Cepeda,Buy,25,UTEP Basketball 12,3,Silver
Devin,Diaz,Buy,58,Bad Bunny Live,5,General Admission
Ryan,Bowman,Buy,55,UTEP Wind Symphony 11,6,Bronze
Diana,Matthews,Buy,18,UTEP Basketball 5,5,VIP
Nancy,Morgan,Buy,32,UTEP Basketball 19,3,General Admission
Edward,Johnson,Buy,58,Bad Bunny Live,5,General Admission
Katherine,Evans,Buy,66,Warped Tour Day 2,6,VIP
Kayla,Morgan,Buy,23,UTEP Basketball 10,3,VIP
Kaylee,Hale,Buy,43,UTEP Basketball 30,4,Bronze
Ana,Andrade,Buy,7,UTEP Football 7,6,VIP
Darlene,Russell,Buy,31,UTEP Basketball 18,4,VIP
Natasha,Wheeler,Buy,52,UTEP Wind Symphony 8,3,General Admission
Sean,Klein,Buy,19,UTEP Basketball 6,5,VIP
Derek,Macias,Buy,10,UTEP Football 10,2,Silver
Mary,Church,Buy,44,UTEP Basketball 31,5,Bronze
Amber,Nguyen,Buy,3,UTEP Football 3,6,General Admission
Erika,Lopez,Buy,13,UTEP Football 13,2,General Admission
Robert,Preston,Buy,41,UTEP Basketball 28,6,Gold
Derrick,Grant,Buy,41,UTEP Basketball 28,3,Bronze
Christopher,Contreras,Buy,31,UTEP Basketball 18,2,Bronze
Kelly,Harris,Buy,1,UTEP Football 1,2,Bronze
Andrea,Riley,Buy,42,UTEP Basketball 29,2,Silver
Jamie,Conner,Buy,46,UTEP Wind Symphony 2,6,Gold
Mikayla,Dennis,Buy,1,UTEP Football 1,4,Bronze
Karen,Zhang,Buy,3,UTEP Football 3,5,VIP
Lisa,Yu,Buy,16,UTEP Basketball 3,4,Bronze
Philip,Collins,Buy,43,UTEP Basketball 30,4,Gold
Jeffrey,Marquez,Buy,57,Taylor Swift Live,6,VIP
Jessica,Frye,Buy,8,UTEP Football 8,5,VIP
Tammy,Thomas,Buy,14,UTEP Basketball 1,5,Bronze
William,Rice,Buy,32,UTEP Basketball 19,2,VIP
Derek,Lopez,Buy,47,UTEP Wind Symphony 3,3,General Admission
Carlos,Lynch,Buy,4,UTEP Football 4,2,VIP
Richard,Vargas,Buy,60,Ariana Grande Live,2,Bronze
Angelica,Bruce,Buy,47,UTEP Wind Symphony 3,4,Gold
Elizabeth,Cruz,Buy,23,UTEP Basketball 10,5,Bronze
Ryan,Wilkins,Buy,24,UTEP Basketball 11,4,Silver
Shannon,Bennett,Buy,60,Ariana Grande Live,6,Gold
Brittany,Weaver,Buy,26,UTEP Basketball 13,2,General Admission
Patrick,Henderson,Buy,20,UTEP Basketball 7,6,Silver
Brandi,Daniel,Buy,25,UTEP Basketball 12,4,Bronze
Rose,Burgess,Buy,34,UTEP Basketball 21,3,General Admission
Melissa,Mcdonald,Buy,63,Lady Gaga Live,6,Bronze
Alison,Hicks,Buy,8,UTEP Football 8,2,VIP
Denise,Morales,Buy,5,UTEP Football 5,3,General Admission
Arturo,Hernandez,Buy,61,Justin Bieber Live,5,VIP
Amy,Parsons,Buy,11,UTEP Football 11,5,Gold
Jermaine,Dean,Buy,25,UTEP Basketball 12,2,Gold
Gregory,Short,Buy,32,UTEP Basketball 19,6,Silver
Pinocchio,Disney,Buy,31,UTEP Basketball 18,6,Bronze
Alan,Robles,Buy,43,UTEP Basketball 30,2,VIP
Heather,Robbins,Buy,52,UTEP Wind Symphony 8,2,Silver
James,Brennan,Buy,71,UTEP Commencement 3,4,General Admission
Richard,Edwards,Buy,15,UTEP Basketball 2,4,VIP
Jared,DeLosReyes,Buy,24,UTEP Basketball 11,6,General Admission
Michael,Smith,Buy,10,UTEP Football 10,3,General Admission
Michael,Murray,Buy,61,Justin Bieber Live,2,Bronze
Timothy,Jones,Buy,12,UTEP Football 12,5,VIP
Melissa,Mccormick,Buy,42,UTEP Basketball 29,4,Bronze
Crystal,Johnson,Buy,1,UTEP Football 1,2,General Admission
Sheri,Adams,Buy,35,UTEP Basketball 22,3,Silver
Julian,Gutierrez,Buy,38,UTEP Basketball 25,6,Bronze
Nicole,Harvey,Buy,54,UTEP Wind Symphony 10,6,Bronze
Teresa,Gardner,Buy,8,UTEP Football 8,3,Silver
Misty,Horton,Buy,53,UTEP Wind Symphony 9,5,Bronze
William,Rice,Buy,15,UTEP Basketball 2,6,Gold
Shane,Miller,Buy,69,UTEP Commencement 2,3,Gold
Ashley,Romero,Buy,20,UTEP Basketball 7,4,Gold
Douglas,Mckay,Buy,20,UTEP Basketball 7,6,Bronze
Stephanie,Williams,Buy,58,Bad Bunny Live,2,Gold
Norman,Freeman,Buy,23,UTEP Basketball 10,2,VIP
Kevin,Scott,Buy,50,UTEP Wind Symphony 6,4,Silver
Shelly,Jones,Buy,45,UTEP Wind Symphony 1,3,VIP
Anthony,Sims,Buy,46,UTEP Wind Symphony 2,5,Bronze
Susan,Davis,Buy,13,UTEP Football 13,5,General Admission
Nicole,Hart,Buy,36,UTEP Basketball 23,2,General Admission
Susan,Hill,Buy,9,UTEP Football 9,2,VIP
Matthew,Porter,Buy,32,UTEP Basketball 19,3,VIP
Keith,Ortiz,Buy,52,UTEP Wind Symphony 8,3,VIP
William,Rice,Buy,31,UTEP Basketball 18,6,Bronze
Haley,Moss,Buy,32,UTEP Basketball 19,5,VIP
Menda,Dorji,Buy,47,UTEP Wind Symphony 3,4,Gold
Amy,Morse,Buy,12,UTEP Football 12,3,Silver
Ryan,Peterson,Buy,18,UTEP Basketball 5,5,General Admission
Jose,Evans,Buy,36,UTEP Basketball 23,6,Bronze
Shere,Khan,Buy,71,UTEP Commencement 3,3,Silver
Alexandra,Simpson,Buy,50,UTEP Wind Symphony 6,6,Bronze
Diana,Matthews,Buy,36,UTEP Basketball 23,5,Silver
Christopher,Dominguez,Buy,4,UTEP Football 4,3,General Admission
